word,count
poison,79
eer,79
fellows,79
camp,79
rogue,79
sudden,79
whiles,79
burgundy,79
edm,79
excuse,78
knowledge,78
burn,78
shadow,78
rise,78
vain,78
desires,78
daughters,78
ancient,78
tower,78
grows,77
blessed,77
view,77
quiet,77
trouble,77
alack,77
awake,77
fears,77
smile,77
la,77
brook,77
percy,77
plantagenet,77
weary,76
precious,76
aught,76
dark,76
proof,76
endure,76
obey,76
greatness,76
dumain,76
princely,76
guiderius,76
wales,76
juliet,76
shouldst,75
cunning,75
bones,75
goodly,75
drop,75
terms,75
helen,75
lieutenant,75
thomas,75
peter,75
autolycus,75
lo,74
forbid,74
lovers,74
forgive,74
cheek,74
struck,74
bitter,74
bond,74
woo,74
dot,74
occasion,74
ant,74
fabian,74
wound,73
foes,73
wrongs,73
liberty,73
knowst,73
owe,73
twixt,73
cheer,73
colour,73
safety,73
affection,73
heels,73
knock,73
train,73
reg,73
biondello,73
patroclus,73
advantage,72
proceed,72
cheeks,72
neck,72
dispatch,72
approach,72
swords,72
athens,72
orleans,72
casca,72
ross,72
catesby,72
lavinia,72
rude,71
wealth,71
large,71
beast,71
dance,71
scarce,71
malice,71
jove,71
blows,71
edmund,71
montague,71
aumerle,71
caliban,71
thurio,71
cruel,70
leaves,70
stars,70
bearing,70
manners,70
room,70
wretched,70
guilty,70
legs,70
lepidus,70
forest,70
wall,70
brow,69
sort,69
melancholy,69
reasons,69
spent,69
catch,69
oaths,69
traitors,69
choice,69
meat,69
priest,69
yonder,69
pleasd,69
christian,69
sayst,69
hangd,69
cried,69
monster,69
archbishop,69
gaunt,69
philip,69
banquo,69
theseus,69
bright,68
mayst,68
rough,68
steel,68
pure,68
fame,68
red,68
drunk,68
madness,68
ways,68
embrace,68
led,68
volumnia,68
chamberlain,68
jew,68
richmond,68
ben,68
graces,67
blunt,67
argument,67
affairs,67
story,67
creature,67
vows,67
gentlewoman,67
courage,67
throne,67
hail,67
tribunes,67
gonzalo,67
spend,66
natures,66
private,66
seal,66
thief,66
thrice,66
idle,66
fain,66
fat,66
defend,66
george,66
katherine,66
benedick,66
depart,65
gift,65
heat,65
prepare,65
dry,65
pain,65
swift,65
food,65
fury,65
deserve,65
loud,65
fought,65
quoth,65
damnd,65
colours,65
murder,65
winchester,65
nestor,65
nerissa,65
saturninus,65
rose,64
breathe,64
horses,64
request,64
monstrous,64
nose,64
courtesy,64
post,64
eros,64
chain,64
englands,64
mortimer,64
miranda,64
lucetta,64
remembrance,63
husbands,63
secret,63
cries,63
paid,63
cross,63
remain,63
leisure,63
sharp,63
subjects,63
forsworn,63
minds,63
humble,63
fiend,63
diana,63
livd,63
wicked,63
knee,63
proper,63
niece,63
church,63
arviragus,63
nym,63
foe,62
evil,62
thunder,62
gate,62
stones,62
wait,62
easy,62
sooner,62
tune,62
twill,62
crowns,62
kneel,62
wives,62
doors,62
study,62
claim,62
laer,62
flavius,62
holofernes,62
mer,62
hermione,62
silver,61
lawful,61
instant,61
broken,61
finger,61
warlike,61
humbly,61
ladys,61
arthur,61
alcibiades,61
rain,60
nights,60
beggar,60
mend,60
wanton,60
asleep,60
demand,60
spare,60
fail,60
le,60
senators,60
merchant,60
mowbray,60
longaville,60
pyramus,60
trinculo,60
florizel,60
spring,59
offend,59
sits,59
poet,59
jewel,59
clouds,59
dust,59
repent,59
spite,59
clear,59
stone,59
remedy,59
mar,59
powers,59
discourse,59
virtues,59
dreadful,59
lands,59
hit,59
mayor,59
malcolm,59
jessica,59
andronicus,59
memory,58
herald,58
single,58
griefs,58
stoln,58
seat,58
thinks,58
aid,58
shut,58
mere,58
receivd,58
natural,58
feet,58
rivers,58
oph,58
stanley,58
alb,58
nought,57
rare,57
buried,57
grown,57
forbear,57
bids,57
wretch,57
list,57
join,57
hopes,57
trial,57
horns,57
happiness,57
meaning,57
condition,57
agrippa,57
romans,57
storm,57
fairy,57
luciana,57
sack,57
beatrice,57
sum,56
glass,56
fond,56
thrive,56
teeth,56
bare,56
ride,56
delight,56
gain,56
betwixt,56
goodness,56
rascal,56
wench,56
names,56
devils,56
weeping,56
humphrey,56
quality,55
wide,55
table,55
turns,55
dearest,55
absence,55
authority,55
countenance,55
cure,55
voices,55
denied,55
undone,55
usd,55
wings,55
wrath,55
visit,55
oxford,55
puck,55
tybalt,55
tomb,54
summer,54
heavenly,54
faces,54
perfect,54
puts,54
thrust,54
anger,54
shore,54
flies,54
gross,54
despair,54
freely,54
ease,54
supper,54
oliver,54
villains,54
reverend,54
charity,54
edwards,54
keeper,54
worlds,53
womb,53
lovely,53
public,53
intend,53
sorrows,53
brings,53
ransom,53
blest,53
heed,53
protest,53
spoken,53
flight,53
deal,53
gallant,53
showd,53
menas,53
pound,53
ducats,53
realm,53
gower,53
ferdinand,53
gon,53
quince,53
painted,52
counterfeit,52
naked,52
lover,52
vouchsafe,52
wake,52
knife,52
seest,52
drops,52
sickness,52
plot,52
angel,52
knaves,52
encounter,52
tidings,52
promisd,52
innocent,52
maids,52
followers,52
obedience,52
vengeance,52
chiron,52
treasure,51
sigh,51
kindness,51
greatest,51
durst,51
